id,Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
22,Bahrein,BHR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
23,Bahamas,BHS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,6953862535,,,,
24,Bosnia y Herzegovina,BIH,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,22116292440,24191076634,26332693829,28248989825,
25,Belarús,BLR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,39848544786,43232908800,48509693936,50800658500,
26,Belice,BLZ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2939370538,3017319526,3157361405,3533801971,
27,Bermudas,BMU,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
28,Bolivia,BOL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.40E+11,2.50E+11,2.46E+11,2.69E+11,
29,Brasil,BRA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,6.13E+12,6.56E+12,7.10E+12,8.31E+12,
30,Barbados,BRB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,11336496840,11315114849,,,
31,Brunei Darussalam,BRN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,14517775053,14929719170,15567062904,15500175713,
32,Bhutan,BTN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.13E+11,1.20E+11,1.35E+11,1.73E+11,
33,Botswana,BWA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,72466776441,78495248910,84767083089,89761949480,
34,República Centroafricana,CAF,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.01E+11,3.43E+11,3.74E+11,,
35,Canada,CAN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
36,Europa Central y del Baltico,CEB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
37,Suiza,CHE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
