Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
Santa Lucía,LCA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,504,343,875","2,204,329,082","343,847,738","2,171,517,987",
América Latina y el Caribe,LCN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,081,840,342","3,332,951,904","3,072,223,559","240,527,439",
Países menos desarrollados: clasificacion de las Naciones Unidas,LDC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,902,684,663","1,688,205,975","168,051,037","187,128,218",
Países de ingreso bajo,LIC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,896,363,507","3,104,838,228","2,989,496,218","2,768,009,427",
Liechtenstein,LIE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"6,023,794,201","-1,303,130,921",,,
Sri Lanka,LKA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,570,116,017","1,834,911,534","0,8861065783","0,5358418078",
Países de ingreso mediano bajo,LMC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,885,666,957","1,829,854,068","1,910,226,457","190,263,885",
Ingreso mediano y bajo,LMY,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"185,437,745","1,945,867,595","1,780,532,564","1,757,719,365",
Lesotho,LSO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,828,508,013","1,625,763,082","1,457,724,954","1,314,807,291",
avanzada del dividendo demográfico,LTE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,210,220,195","2,299,364,804","1,841,416,597","1,943,442,368",
Lituania,LTU,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,897,336,059","2,418,269,234","6,278,727,375","7,920,132,034",
Luxemburgo,LUX,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-1,037,148,961","-2,350,644,902","210,719,712","847,198,091",
Letonia,LVA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,784,223,086","1,242,577,673","3,169,965,191","2,806,069,415",
"Region Administrativa Especial de Macao, China",MAC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,372,265,192","2,774,918,581","1,178,968,192","-2,776,494,492",
Isla de San Martín (parte francesa),MAF,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Marruecos,MAR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,443,511,303","3,001,270,496","1,435,570,784","1,236,620,014",
Monaco,MCO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
República de Moldova,MDA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,546,266,736","2,560,868,034","4,233,024,776","1,327,348,875",
